,가맹시,가맹구,음식,관광/쇼핑,레저활동,공연/전시,숙박,엔트로피,엔트로피극대화지수
28,경기,부천시,0.831,1.534,0.277,0.07,0.087,0.5507,0.3422
29,경기,성남시,1.01,0.445,0.567,0.093,2.097,0.9972,0.6196
30,경기,수원시,1.228,0.716,0.393,0.081,1.421,1.0883,0.6762
31,경기,시흥시,2.428,0.429,6.316,0.039,1.018,1.1925,0.741
32,경기,안산시,2.209,0.957,3.065,0.175,0.213,0.9576,0.595
33,경기,안성시,0.584,1.56,6.615,0.016,0.039,0.583,0.3622
34,경기,안양시,1.846,0.704,0.475,0.971,1.021,1.1137,0.692
35,경기,양주시,0.776,1.508,5.468,0.053,0.039,0.6263,0.3891
36,경기,양평군,1.398,0.887,9.506,0.0,0.733,1.2071,0.75
37,경기,여주시,0.739,0.779,59.595,0.014,0.087,1.0895,0.677
38,경기,연천군,0.98,1.094,29.967,0.0,0.076,1.0324,0.6415
39,경기,오산시,1.921,0.896,2.015,0.874,0.554,1.0699,0.6648
40,경기,용인시,1.416,0.859,34.489,0.005,0.125,1.168,0.7257
41,경기,의왕시,0.41,1.484,0.122,0.132,0.475,0.6499,0.4038
42,경기,의정부시,1.828,1.162,0.809,0.092,0.127,0.8087,0.5025
43,경기,이천시,1.05,0.315,17.217,0.032,1.891,1.2166,0.7559
44,경기,파주시,1.07,1.384,2.59,0.011,0.16,0.7529,0.4678
45,경기,평택시,2.639,0.768,0.358,0.136,0.364,0.961,0.5971
46,경기,포천시,1.557,0.95,25.461,0.076,0.085,1.0993,0.683
47,경기,하남시,1.128,1.449,1.403,0.0,0.023,0.6017,0.3739
48,경기,화성시,1.587,0.358,2.839,0.088,1.818,1.1032,0.6855
49,경남,거제시,2.28,0.589,1.663,1.71,0.921,1.1339,0.7045
50,경남,거창군,2.449,0.819,8.207,0.0,0.189,1.0386,0.6453
51,경남,고성군,2.255,0.545,36.058,0.0,0.132,1.1928,0.7411
52,경남,김해시,0.859,1.022,4.091,0.009,0.973,1.0769,0.6691
53,경남,남해군,1.06,0.194,94.619,0.0,0.106,0.9247,0.5746
